config_id,stage,view_id,parameter,unit,recorded_value,evidence_path,evidence_key,record_status,final_value,final_status,notes
,base_training,all,experiment,,UNET-SEM-V5-FS-QTOKEN,outputs/train/Qtoken_FS/mask_act_run_config.json,experiment,recorded_config,,pending_author,
,base_training,all,steps,,100000,outputs/train/Qtoken_FS/mask_act_run_config.json,steps,recorded_config,,pending_author,
,base_training,all,batch_size,,8,outputs/train/Qtoken_FS/mask_act_run_config.json,batch_size,recorded_config,,pending_author,
,base_training,all,lr,,0.00001,outputs/train/Qtoken_FS/mask_act_run_config.json,lr,recorded_config,,pending_author,
,base_training,all,lr_backbone,,0.00001,outputs/train/Qtoken_FS/mask_act_run_config.json,lr_backbone,recorded_config,,pending_author,
,base_training,all,latent_dim,,128,outputs/train/Qtoken_FS/mask_act_run_config.json,latent_dim,recorded_config,,pending_author,
,base_training,all,seed,,1000,outputs/train/Qtoken_FS/mask_act_run_config.json,seed,recorded_config,,pending_author,
,base_training,all,chunk_size,,60,outputs/train/Qtoken_FS/mask_act_run_config.json,chunk_size,recorded_config,,pending_author,
,base_training,all,n_action_steps,,60,outputs/train/Qtoken_FS/mask_act_run_config.json,n_action_steps,recorded_config,,pending_author,
,base_training,all,act_action_target,,dataset_action,outputs/train/Qtoken_FS/mask_act_run_config.json,act_action_target,recorded_config,,pending_author,
,base_training,all,action_loss_weight,,1,outputs/train/Qtoken_FS/mask_act_run_config.json,action_loss_weight,recorded_config,,pending_author,
,base_training,all,metric_loss_weight,,1,outputs/train/Qtoken_FS/mask_act_run_config.json,metric_loss_weight,recorded_config,,pending_author,
,base_training,all,semantic_temperature,,1,outputs/train/Qtoken_FS/mask_act_run_config.json,semantic_temperature,recorded_config,,pending_author,
,base_training,all,pretrained_backbone_weights,,ResNet18_Weights.IMAGENET1K_V1,outputs/train/Qtoken_FS/mask_act_run_config.json,pretrained_backbone_weights,recorded_config,,pending_author,
,segmentation_inference,front,checkpoint_path,,/data/qihan/lerobot/data/bettersetup_v5/models/unet_front_v4_r1/best.pt,outputs/train/Qtoken_FS/mask_act_run_config.json,pretrained_segmentation_checkpoints[0],recorded_config,,pending_author,
,segmentation_inference,front,class_order,,"[""background"",""occluder"",""object"",""region"",""tool"",""leftarm"",""rightarm""]",outputs/train/Qtoken_FS/mask_act_run_config.json,frozen_semantic_input.semantic_classes_by_view,recorded_config,,pending_author,
,segmentation_training,front,checkpoint_sha256,,,,,unverified,,pending_author,
,segmentation_training,front,training_manifest,,,,,unverified,,pending_author,
,segmentation_training,front,validation_manifest,,,,,unverified,,pending_author,
,segmentation_training,front,optimizer,,,,,unverified,,pending_author,
,segmentation_training,front,learning_rate,,,,,unverified,,pending_author,
,segmentation_training,front,batch_size,,,,,unverified,,pending_author,
,segmentation_training,front,seed,,,,,unverified,,pending_author,
,segmentation_training,front,epochs,,,,,unverified,,pending_author,
,segmentation_training,front,loss_weights,,,,,unverified,,pending_author,
,segmentation_training,front,image_preprocessing,,,,,unverified,,pending_author,
,segmentation_inference,side,checkpoint_path,,/data/qihan/lerobot/data/bettersetup_v5/models/unet_side/best.pt,outputs/train/Qtoken_FS/mask_act_run_config.json,pretrained_segmentation_checkpoints[1],recorded_config,,pending_author,
,segmentation_inference,side,class_order,,"[""background"",""occluder"",""object"",""region"",""tool""]",outputs/train/Qtoken_FS/mask_act_run_config.json,frozen_semantic_input.semantic_classes_by_view,recorded_config,,pending_author,
,segmentation_training,side,checkpoint_sha256,,,,,unverified,,pending_author,
,segmentation_training,side,training_manifest,,,,,unverified,,pending_author,
,segmentation_training,side,validation_manifest,,,,,unverified,,pending_author,
,segmentation_training,side,optimizer,,,,,unverified,,pending_author,
,segmentation_training,side,learning_rate,,,,,unverified,,pending_author,
,segmentation_training,side,batch_size,,,,,unverified,,pending_author,
,segmentation_training,side,seed,,,,,unverified,,pending_author,
,segmentation_training,side,epochs,,,,,unverified,,pending_author,
,segmentation_training,side,loss_weights,,,,,unverified,,pending_author,
,segmentation_training,side,image_preprocessing,,,,,unverified,,pending_author,
,segmentation_inference,all,palette_rgb_8bit,RGB uint8,"{""background"":[0,0,0],""occluder"":[64,160,255],""object"":[255,105,97],""region"":[119,221,119],""tool"":[255,209,102],""leftarm"":[234,146,199],""rightarm"":[173,214,101]}",outputs/train/Qtoken_FS/mask_act_run_config.json,semantic_palette_rgb,recorded_config,,pending_author,
,segmentation_inference,all,palette_normalization,,channel / 255,mycode/train_mask_act_policy.py,SEMANTIC_N_PALETTE_BY_CLASS; semantic_rgb_maps,code_verified,,pending_author,
,base_training,all,optimizer,,,,,unverified,,pending_author,
,base_training,all,weight_decay,,,,,unverified,,pending_author,
,base_training,all,lr_schedule,,,,,unverified,,pending_author,
,base_training,all,training_manifest,,,,,unverified,,pending_author,
,base_training,all,validation_manifest,,,,,unverified,,pending_author,
,base_training,all,checkpoint_sha256,,,,,unverified,,pending_author,
,base_training,all,resolved_image_preprocessing,,,,,unverified,,pending_author,
,residual_training,all,optimizer,,,,,unverified,,pending_author,
,residual_training,all,learning_rate,,,,,unverified,,pending_author,
,residual_training,all,batch_size,,,,,unverified,,pending_author,
,residual_training,all,seed,,,,,unverified,,pending_author,
,residual_training,all,max_epochs,,,,,unverified,,pending_author,
,residual_training,all,early_stopping,,,,,unverified,,pending_author,
,residual_training,all,split_manifest,,,,,unverified,,pending_author,
,residual_training,all,cache_fingerprint,,,,,unverified,,pending_author,
,residual_training,all,checkpoint_sha256,,,,,unverified,,pending_author,
,residual_training,all,action_scale,,,,,unverified,,pending_author,
,residual_training,all,residual_limits,,,,,unverified,,pending_author,
,policy_inference,all,checkpoint_path,,/home/romilab/Projects/IsaacLab/source/lerobot/outputs/train/Qtoken_FS/checkpoint_step_100000,mycode/SF_C_GRU.json,checkpoint_path,recorded_config,,pending_author,
,policy_inference,all,fps,,30,mycode/SF_C_GRU.json,fps,recorded_config,,pending_author,
,policy_inference,all,episode_time_s,,30,mycode/SF_C_GRU.json,episode_time_s,recorded_config,,pending_author,
,policy_inference,all,include_side_camera,,true,mycode/SF_C_GRU.json,include_side_camera,recorded_config,,pending_author,
,policy_inference,all,execution_mode,,asynchronous,mycode/SF_C_GRU.json,execution_mode,recorded_config,,pending_author,
,policy_inference,all,camera_read_mode,,wait_new_frame,mycode/SF_C_GRU.json,camera_read_mode,recorded_config,,pending_author,
,policy_inference,all,model_chunk_size,,60,mycode/SF_C_GRU.json,model_chunk_size,recorded_config,,pending_author,
,policy_inference,all,prediction_steps,,60,mycode/SF_C_GRU.json,prediction_steps,recorded_config,,pending_author,
,policy_inference,all,n_action_steps,,30,mycode/SF_C_GRU.json,n_action_steps,recorded_config,,pending_author,
,policy_inference,all,fusion_steps,,0,mycode/SF_C_GRU.json,fusion_steps,recorded_config,,pending_author,
,policy_inference,all,fusion_history_weight,,0,mycode/SF_C_GRU.json,fusion_history_weight,recorded_config,,pending_author,
,policy_inference,all,use_amp,,false,mycode/SF_C_GRU.json,use_amp,recorded_config,,pending_author,
,policy_inference,all,residual_mode,,gru,mycode/SF_C_GRU.json,residual_mode,recorded_config,,pending_author,
,policy_inference,all,residual_path,,/home/romilab/Projects/IsaacLab/source/lerobot/outputs/train/resual/SF-v2-S6-D3-H9-C-FS/gru8/best.pt,mycode/SF_C_GRU.json,residual_path,recorded_config,,pending_author,
,policy_inference,all,residual_update_steps,,,,,unverified,,pending_author,
,policy_inference,all,residual_delay_steps,,,,,unverified,,pending_author,
,policy_inference,all,residual_horizon,,,,,unverified,,pending_author,
,policy_inference,all,history_window,,,,,unverified,,pending_author,
,policy_inference,all,observation_age_limit_s,,,,,unverified,,pending_author,
,policy_inference,all,residual_age_limit_s,,,,,unverified,,pending_author,
,policy_inference,all,max_view_skew_s,,,,,unverified,,pending_author,
,policy_inference,all,output_mask_verified,,,,,unverified,,pending_author,
,policy_inference,all,hardware_id,,,,,unverified,,pending_author,
,policy_inference,all,evaluation_protocol_id,,,,,unverified,,pending_author,
